Nummerical derivartion in task 1b
n=  10
Nummerical_solution   Analytical_solution        rel.error
0.7359               0.5062                       0.4537
0.8058               0.6559                       0.2287
0.7578               0.6619                       0.1449
0.6711               0.6100                       0.1001
0.5731               0.5349                       0.0715
0.4731               0.4503                       0.0506
0.3739               0.3619                       0.0330
0.2762               0.2721                       0.0152
0.1799               0.1816                       0.0091
0.0848               0.0908                       0.0661
