Nummerical derivartion in task1c_n_10
n=  10
Nummerical_solution   Analytical_solution        rel.error
0.4727               0.5062                       0.0661
0.6125               0.6559                       0.0661
0.6181               0.6619                       0.0661
0.5697               0.6100                       0.0661
0.4995               0.5349                       0.0661
0.4205               0.4503                       0.0661
0.3380               0.3619                       0.0661
0.2541               0.2721                       0.0661
0.1696               0.1816                       0.0661
0.0848               0.0908                       0.0661
