Nummerical derivartion in task../Plotting_kjetil/n_2
n=  100
Nummerical_solution   Analytical_solution        rel.error
0.0843               0.0844                       0.0008
0.1597               0.1598                       0.0008
0.2271               0.2273                       0.0008
0.2872               0.2874                       0.0008
0.3407               0.3410                       0.0008
0.3882               0.3885                       0.0008
0.4303               0.4307                       0.0008
0.4675               0.4679                       0.0008
0.5003               0.5007                       0.0008
0.5290               0.5295                       0.0008
0.5541               0.5546                       0.0008
0.5759               0.5764                       0.0008
0.5947               0.5952                       0.0008
0.6109               0.6114                       0.0008
0.6245               0.6250                       0.0008
0.6360               0.6365                       0.0008
0.6454               0.6459                       0.0008
0.6530               0.6535                       0.0008
0.6589               0.6595                       0.0008
0.6634               0.6639                       0.0008
0.6665               0.6671                       0.0008
0.6684               0.6689                       0.0008
0.6692               0.6697                       0.0008
0.6689               0.6695                       0.0008
0.6678               0.6683                       0.0008
0.6658               0.6664                       0.0008
0.6631               0.6637                       0.0008
0.6597               0.6603                       0.0008
0.6557               0.6563                       0.0008
0.6512               0.6517                       0.0008
0.6461               0.6466                       0.0008
0.6406               0.6411                       0.0008
0.6347               0.6352                       0.0008
0.6284               0.6289                       0.0008
0.6217               0.6222                       0.0008
0.6148               0.6153                       0.0008
0.6075               0.6080                       0.0008
0.6001               0.6006                       0.0008
0.5924               0.5928                       0.0008
0.5844               0.5849                       0.0008
0.5763               0.5768                       0.0008
0.5681               0.5685                       0.0008
0.5597               0.5601                       0.0008
0.5511               0.5516                       0.0008
0.5424               0.5429                       0.0008
0.5336               0.5341                       0.0008
0.5247               0.5251                       0.0008
0.5157               0.5161                       0.0008
0.5066               0.5071                       0.0008
0.4975               0.4979                       0.0008
0.4883               0.4887                       0.0008
0.4790               0.4794                       0.0008
0.4696               0.4700                       0.0008
0.4602               0.4606                       0.0008
0.4508               0.4512                       0.0008
0.4413               0.4417                       0.0008
0.4318               0.4321                       0.0008
0.4222               0.4226                       0.0008
0.4126               0.4130                       0.0008
0.4030               0.4033                       0.0008
0.3934               0.3937                       0.0008
0.3837               0.3840                       0.0008
0.3740               0.3743                       0.0008
0.3643               0.3646                       0.0008
0.3546               0.3549                       0.0008
0.3448               0.3451                       0.0008
0.3351               0.3353                       0.0008
0.3253               0.3256                       0.0008
0.3155               0.3158                       0.0008
0.3057               0.3060                       0.0008
0.2959               0.2962                       0.0008
0.2861               0.2864                       0.0008
0.2763               0.2765                       0.0008
0.2665               0.2667                       0.0008
0.2567               0.2569                       0.0008
0.2468               0.2470                       0.0008
0.2370               0.2372                       0.0008
0.2271               0.2273                       0.0008
0.2173               0.2175                       0.0008
0.2074               0.2076                       0.0008
0.1976               0.1977                       0.0008
0.1877               0.1879                       0.0008
0.1778               0.1780                       0.0008
0.1680               0.1681                       0.0008
0.1581               0.1582                       0.0008
0.1482               0.1484                       0.0008
0.1384               0.1385                       0.0008
0.1285               0.1286                       0.0008
0.1186               0.1187                       0.0008
0.1087               0.1088                       0.0008
0.0988               0.0989                       0.0008
0.0890               0.0890                       0.0008
0.0791               0.0791                       0.0008
0.0692               0.0693                       0.0008
0.0593               0.0594                       0.0008
0.0494               0.0495                       0.0008
0.0395               0.0396                       0.0008
0.0297               0.0297                       0.0008
0.0198               0.0198                       0.0008
0.0099               0.0099                       0.0008
