d     d_new   b    b_new
2.0000 2.0000 0.1408 0.1408
2.0000 1.5000 0.0875 0.1579
2.0000 1.3333 0.0543 0.1596
2.0000 1.2500 0.0338 0.1535
2.0000 1.2000 0.0210 0.1437
2.0000 1.1667 0.0130 0.1328
2.0000 1.1429 0.0081 0.1219
2.0000 1.1250 0.0050 0.1117
2.0000 1.1111 0.0031 0.1024
2.0000 1.1000 0.0019 0.0941
2.0000 1.0909 0.0012 0.0868
2.0000 1.0833 0.0007 0.0803
2.0000 1.0769 0.0005 0.0746
2.0000 1.0714 0.0003 0.0695
2.0000 1.0667 0.0002 0.0651
2.0000 1.0625 0.0001 0.0611
2.0000 1.0588 0.0001 0.0576
2.0000 1.0556 0.0000 0.0544
2.0000 1.0526 0.0000 0.0516
2.0000 1.0500 0.0000 0.0490
0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187, 0.0187,  
MaxError = 0.0187
